,item,updated
2,Kadalla 500 Kg,2018-08-19 15:39:00
1,Green Gram (Cherupayar) 500 Kg,2018-08-19 15:38:00
4,Salt 100 Kg,2018-08-19 15:38:00
0,Dal (Paripp) 500 Kg,2018-08-19 15:37:00
3,Rice 500 Kg,2018-08-19 15:37:00
