,item,updated
0,Baby Diapers 300 Piece,2018-08-19 15:06:00
4,lugis 500 Piece,2018-08-19 15:05:00
6,Sanitary Napkins 500 Piece,2018-08-19 15:05:00
2,Gents innerwear 500 Piece,2018-08-19 15:03:00
3,ladies innerwear 500 Piece,2018-08-19 15:02:00
5,Mats 500 Piece,2018-08-19 15:01:00
7,swetter 100 Piece,2018-08-19 15:01:00
1,Blankets 1000 Piece,2018-08-19 15:00:00
