,item,updated
4,Vegetables 20 Kg,2018-08-19 17:14:00
3,Rice 50 Kg,2018-08-19 17:12:00
1,Botled Waters (20L) 50 Piece,2018-08-19 17:11:00
0,Adult Diapers 100 Piece,2018-08-19 17:10:00
2,Food items 200 Piece,2018-08-19 15:53:00
