,item,updated
0,Beans 10 Kg,2018-08-19 13:33:00
3,Rice 50 Kg,2018-08-19 13:33:00
8,Water Can 100 Piece,2018-08-19 13:32:00
1,Gloves (Medical) 100 Piece,2018-08-19 13:31:00
4,Sarees 50 Piece,2018-08-19 12:36:00
5,Undergarments - Gents 100 Piece,2018-08-19 12:12:00
6,Undergarments - Kids 50 Piece,2018-08-19 12:11:00
7,Undergarments - Ladies 100 Piece,2018-08-19 12:11:00
2,Nighties 100 Piece,2018-08-19 12:10:00
